structure,first_shell_rank,ga_distance_to_vacancy_A,reference_oxygen_1_atom_number,reference_ga_atom_number,reference_oxygen_2_atom_number,defect_oxygen_1_atom_number,defect_ga_atom_number,defect_oxygen_2_atom_number,pristine_angle_deg,vacancy_angle_deg,angle_change_deg,absolute_angle_change_deg
vacancy_O1,1,1.8437517434761168,37,29,61,36,29,60,105.89754625009778,98.80894172663022,-7.088604523467552,7.088604523467552
vacancy_O1,1,1.8437517434761168,37,29,71,36,29,70,91.62968099983617,90.74111982029154,-0.8885611795446238,0.8885611795446238
vacancy_O1,1,1.8437517434761168,61,29,71,60,29,70,26.155126895795608,28.830569202055205,2.6754423062595976,2.6754423062595976
vacancy_O1,2,1.8437566060950679,37,25,57,36,25,56,105.95417183604388,98.8275578158742,-7.126614020169683,7.126614020169683
vacancy_O1,2,1.8437566060950679,37,25,67,36,25,66,91.62746302297327,90.74186515501124,-0.8855978679620335,0.8855978679620335
vacancy_O1,2,1.8437566060950679,57,25,67,56,25,66,26.154964324359078,28.8361582498525,2.681193925493421,2.681193925493421
vacancy_O1,3,1.9415218622702992,50,2,54,49,2,53,94.43532203630997,94.29812051865316,-0.13720151765680555,0.13720151765680555
vacancy_O1,3,1.9415218622702992,50,2,58,49,2,57,80.90319227010401,83.52996807201225,2.626775801908238,2.626775801908238
vacancy_O1,3,1.9415218622702992,50,2,74,49,2,73,81.03367612881752,81.55749984773595,0.523823718918436,0.523823718918436
vacancy_O1,3,1.9415218622702992,50,2,78,49,2,77,171.4486259005293,175.73174786369057,4.283121963161278,4.283121963161278
vacancy_O1,3,1.9415218622702992,54,2,58,53,2,57,80.944500125885,83.51861634092816,2.574116215043162,2.574116215043162
vacancy_O1,3,1.9415218622702992,54,2,74,53,2,73,171.46797334649764,175.71601073058602,4.248037384088377,4.248037384088377
vacancy_O1,3,1.9415218622702992,54,2,78,53,2,77,80.99968106678968,81.58848896352262,0.5888078967329449,0.5888078967329449
vacancy_O1,3,1.9415218622702992,58,2,74,57,2,73,91.16227124729325,94.88740029870743,3.7251290514141857,3.7251290514141857
vacancy_O1,3,1.9415218622702992,58,2,78,57,2,77,91.19837081542636,94.82546432564013,3.6270935102137685,3.6270935102137685
vacancy_O1,3,1.9415218622702992,74,2,78,73,2,77,102.5348433193263,102.5323957750663,-0.002447544259993606,0.002447544259993606
