structure,label,number_of_atoms,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,dos_states_per_eV_per_atom
pristine,Pristine,80,4.24527174,-8.0047,-12.24997174,0.8771362500000001
pristine,Pristine,80,4.24527174,-7.8914,-12.13667174,1.042675
pristine,Pristine,80,4.24527174,-7.778,-12.023271739999998,0.7485649999999999
pristine,Pristine,80,4.24527174,-7.6646,-11.90987174,0.19946124999999998
pristine,Pristine,80,4.24527174,-7.5513,-11.796571740000001,0.01549875
pristine,Pristine,80,4.24527174,-7.4379,-11.683171739999999,0.00027
pristine,Pristine,80,4.24527174,-7.3246,-11.56987174,1.25e-06
pristine,Pristine,80,4.24527174,-7.2112,-11.45647174,0.0
pristine,Pristine,80,4.24527174,-7.0978,-11.34307174,0.0
pristine,Pristine,80,4.24527174,-6.9845,-11.22977174,0.0
pristine,Pristine,80,4.24527174,-6.8711,-11.11637174,0.0
pristine,Pristine,80,4.24527174,-6.7578,-11.00307174,0.0
pristine,Pristine,80,4.24527174,-6.6444,-10.88967174,0.0
pristine,Pristine,80,4.24527174,-6.531,-10.776271739999999,0.0
pristine,Pristine,80,4.24527174,-6.4177,-10.66297174,0.0
pristine,Pristine,80,4.24527174,-6.3043,-10.54957174,0.0
pristine,Pristine,80,4.24527174,-6.191,-10.436271739999999,0.0
pristine,Pristine,80,4.24527174,-6.0776,-10.32287174,0.0
pristine,Pristine,80,4.24527174,-5.9642,-10.20947174,0.0
pristine,Pristine,80,4.24527174,-5.8509,-10.096171739999999,0.0
pristine,Pristine,80,4.24527174,-5.7375,-9.98277174,0.0
pristine,Pristine,80,4.24527174,-5.6242,-9.86947174,0.0
pristine,Pristine,80,4.24527174,-5.5108,-9.75607174,0.0
pristine,Pristine,80,4.24527174,-5.3974,-9.64267174,0.0
pristine,Pristine,80,4.24527174,-5.2841,-9.529371739999998,0.0
pristine,Pristine,80,4.24527174,-5.1707,-9.41597174,0.0
pristine,Pristine,80,4.24527174,-5.0574,-9.302671740000001,0.0
pristine,Pristine,80,4.24527174,-4.944,-9.189271739999999,0.0
pristine,Pristine,80,4.24527174,-4.8306,-9.07587174,0.0
pristine,Pristine,80,4.24527174,-4.7173,-8.96257174,0.0
pristine,Pristine,80,4.24527174,-4.6039,-8.84917174,0.0
pristine,Pristine,80,4.24527174,-4.4906,-8.73587174,0.0
pristine,Pristine,80,4.24527174,-4.3772,-8.62247174,0.0
pristine,Pristine,80,4.24527174,-4.2638,-8.50907174,0.0
pristine,Pristine,80,4.24527174,-4.1505,-8.39577174,0.0
pristine,Pristine,80,4.24527174,-4.0371,-8.282371739999999,0.0
pristine,Pristine,80,4.24527174,-3.9238,-8.16907174,0.0
pristine,Pristine,80,4.24527174,-3.8104,-8.05567174,0.0
pristine,Pristine,80,4.24527174,-3.697,-7.94227174,0.0
pristine,Pristine,80,4.24527174,-3.5837,-7.82897174,0.0
pristine,Pristine,80,4.24527174,-3.4703,-7.71557174,1.25e-06
pristine,Pristine,80,4.24527174,-3.357,-7.60227174,0.00024875
pristine,Pristine,80,4.24527174,-3.2436,-7.4888717399999996,0.0101475
pristine,Pristine,80,4.24527174,-3.1302,-7.37547174,0.06322625
pristine,Pristine,80,4.24527174,-3.0169,-7.262171739999999,0.11800375
pristine,Pristine,80,4.24527174,-2.9035,-7.14877174,0.18889499999999998
pristine,Pristine,80,4.24527174,-2.7902,-7.03547174,0.27018375
pristine,Pristine,80,4.24527174,-2.6768,-6.92207174,0.30046625
pristine,Pristine,80,4.24527174,-2.5634,-6.808671739999999,0.321785
pristine,Pristine,80,4.24527174,-2.4501,-6.69537174,0.36180875
pristine,Pristine,80,4.24527174,-2.3367,-6.58197174,0.42370125
pristine,Pristine,80,4.24527174,-2.2234,-6.46867174,0.49049875
pristine,Pristine,80,4.24527174,-2.11,-6.355271739999999,0.482345
pristine,Pristine,80,4.24527174,-1.9966,-6.24187174,0.44654125
pristine,Pristine,80,4.24527174,-1.8833,-6.12857174,0.40317749999999997
pristine,Pristine,80,4.24527174,-1.7699,-6.0151717399999995,0.38609125
pristine,Pristine,80,4.24527174,-1.6565,-5.90177174,0.3011075
pristine,Pristine,80,4.24527174,-1.5432,-5.788471739999999,0.235095
pristine,Pristine,80,4.24527174,-1.4298,-5.67507174,0.25424625
pristine,Pristine,80,4.24527174,-1.3165,-5.561771739999999,0.28016874999999997
pristine,Pristine,80,4.24527174,-1.2031,-5.44837174,0.28630125
pristine,Pristine,80,4.24527174,-1.0897,-5.334971739999999,0.32829
pristine,Pristine,80,4.24527174,-0.9764,-5.22167174,0.2874025
pristine,Pristine,80,4.24527174,-0.863,-5.108271739999999,0.30181625
pristine,Pristine,80,4.24527174,-0.7497,-4.9949717399999995,0.32392750000000003
pristine,Pristine,80,4.24527174,-0.6363,-4.88157174,0.29757
pristine,Pristine,80,4.24527174,-0.5229,-4.76817174,0.3533725
pristine,Pristine,80,4.24527174,-0.4096,-4.65487174,0.34682875
pristine,Pristine,80,4.24527174,-0.2962,-4.5414717399999995,0.3309125
pristine,Pristine,80,4.24527174,-0.1829,-4.42817174,0.38609125
pristine,Pristine,80,4.24527174,-0.0695,-4.314771739999999,0.43291625
pristine,Pristine,80,4.24527174,0.0439,-4.20137174,0.47297500000000003
pristine,Pristine,80,4.24527174,0.1572,-4.08807174,0.51848125
pristine,Pristine,80,4.24527174,0.2706,-3.97467174,0.60148625
pristine,Pristine,80,4.24527174,0.3839,-3.8613717399999996,0.5779725
pristine,Pristine,80,4.24527174,0.4973,-3.7479717399999997,0.577625
pristine,Pristine,80,4.24527174,0.6107,-3.6345717399999997,0.58337875
pristine,Pristine,80,4.24527174,0.724,-3.5212717399999995,0.5651349999999999
pristine,Pristine,80,4.24527174,0.8374,-3.4078717399999996,0.52830125
pristine,Pristine,80,4.24527174,0.9507,-3.29457174,0.555195
pristine,Pristine,80,4.24527174,1.0641,-3.18117174,0.6275125
pristine,Pristine,80,4.24527174,1.1775,-3.0677717399999995,0.66185875
pristine,Pristine,80,4.24527174,1.2908,-2.95447174,0.592575
pristine,Pristine,80,4.24527174,1.4042,-2.84107174,0.5000475
pristine,Pristine,80,4.24527174,1.5175,-2.7277717399999997,0.6419575
pristine,Pristine,80,4.24527174,1.6309,-2.6143717399999997,0.807745
pristine,Pristine,80,4.24527174,1.7443,-2.5009717399999998,0.791065
pristine,Pristine,80,4.24527174,1.8576,-2.38767174,0.711185
pristine,Pristine,80,4.24527174,1.971,-2.2742717399999997,0.5948487499999999
pristine,Pristine,80,4.24527174,2.0843,-2.16097174,0.42203625
pristine,Pristine,80,4.24527174,2.1977,-2.0475717399999995,0.40922125
pristine,Pristine,80,4.24527174,2.3111,-1.9341717399999996,0.58808125
pristine,Pristine,80,4.24527174,2.4244,-1.8208717399999998,0.80872625
pristine,Pristine,80,4.24527174,2.5378,-1.70747174,0.82379625
pristine,Pristine,80,4.24527174,2.6511,-1.5941717399999997,0.80353
pristine,Pristine,80,4.24527174,2.7645,-1.4807717399999998,0.86033375
pristine,Pristine,80,4.24527174,2.8779,-1.3673717399999998,0.9823725
pristine,Pristine,80,4.24527174,2.9912,-1.2540717399999997,1.042
pristine,Pristine,80,4.24527174,3.1046,-1.1406717399999997,1.05291625
pristine,Pristine,80,4.24527174,3.2179,-1.0273717399999995,1.0505962500000001
pristine,Pristine,80,4.24527174,3.3313,-0.9139717399999996,0.9119825
pristine,Pristine,80,4.24527174,3.4447,-0.8005717399999996,0.55973375
pristine,Pristine,80,4.24527174,3.558,-0.6872717399999999,0.389255
pristine,Pristine,80,4.24527174,3.6714,-0.5738717399999995,0.5418475
pristine,Pristine,80,4.24527174,3.7847,-0.4605717399999998,0.46198125
pristine,Pristine,80,4.24527174,3.8981,-0.34717173999999984,0.11977
pristine,Pristine,80,4.24527174,4.0115,-0.2337717399999999,0.00641125
pristine,Pristine,80,4.24527174,4.1248,-0.12047174000000016,5e-05
pristine,Pristine,80,4.24527174,4.2382,-0.007071739999999771,0.0
pristine,Pristine,80,4.24527174,4.3515,0.10622825999999996,0.0
pristine,Pristine,80,4.24527174,4.4649,0.21962826000000035,0.0
pristine,Pristine,80,4.24527174,4.5783,0.33302825999999985,0.0
pristine,Pristine,80,4.24527174,4.6916,0.4463282600000005,0.0
pristine,Pristine,80,4.24527174,4.805,0.55972826,0.0
pristine,Pristine,80,4.24527174,4.9183,0.6730282600000006,0.0
pristine,Pristine,80,4.24527174,5.0317,0.7864282600000001,0.0
pristine,Pristine,80,4.24527174,5.1451,0.8998282600000005,0.0
pristine,Pristine,80,4.24527174,5.2584,1.0131282600000002,0.0
pristine,Pristine,80,4.24527174,5.3718,1.1265282600000006,0.0
pristine,Pristine,80,4.24527174,5.4851,1.2398282600000003,0.0
pristine,Pristine,80,4.24527174,5.5985,1.3532282599999998,0.0
pristine,Pristine,80,4.24527174,5.7119,1.4666282600000002,0.0
pristine,Pristine,80,4.24527174,5.8252,1.57992826,2.5e-06
pristine,Pristine,80,4.24527174,5.9386,1.6933282600000004,0.00019125
pristine,Pristine,80,4.24527174,6.052,1.8067282599999999,0.0017399999999999998
pristine,Pristine,80,4.24527174,6.1653,1.9200282600000005,0.00189625
pristine,Pristine,80,4.24527174,6.2787,2.03342826,0.0002725
pristine,Pristine,80,4.24527174,6.392,2.1467282600000006,0.00141
pristine,Pristine,80,4.24527174,6.5054,2.26012826,0.010475
pristine,Pristine,80,4.24527174,6.6188,2.3735282600000005,0.01373375
pristine,Pristine,80,4.24527174,6.7321,2.4868282600000002,0.010897500000000001
pristine,Pristine,80,4.24527174,6.8455,2.6002282600000006,0.00955375
pristine,Pristine,80,4.24527174,6.9588,2.7135282600000004,0.01778625
pristine,Pristine,80,4.24527174,7.0722,2.82692826,0.01767125
pristine,Pristine,80,4.24527174,7.1856,2.9403282600000002,0.01247625
pristine,Pristine,80,4.24527174,7.2989,3.05362826,0.00773125
pristine,Pristine,80,4.24527174,7.4123,3.1670282600000004,0.02714875
pristine,Pristine,80,4.24527174,7.5256,3.28032826,0.034095
