structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.7608,-21.29601391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.7438,-21.27901391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.7267,-21.26191391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.7097,-21.24491391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6927,-21.22791391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6756,-21.21081391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6586,-21.19381391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6416,-21.17681391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6245,-21.15971391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.6075,-21.14271391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5904,-21.125613910000002,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5734,-21.10861391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5564,-21.09161391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5393,-21.07451391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5223,-21.05751391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.5053,-21.04051391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.4882,-21.023413910000002,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.4712,-21.00641391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.4541,-20.98931391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.4371,-20.97231391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.4201,-20.95531391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.403,-20.93821391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.386,-20.92121391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.369,-20.90421391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.3519,-20.88711391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.3349,-20.87011391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.3179,-20.85311391,0.0,0.0,0.0
