structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.9386,-20.972884699999998,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.9215,-20.9557847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.9044,-20.9386847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.8873,-20.9215847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.8702,-20.9044847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.8531,-20.8873847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.836,-20.8702847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.8189,-20.8531847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.8018,-20.8360847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.7847,-20.8189847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.7676,-20.8018847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.7505,-20.7847847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.7335,-20.7677847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.7164,-20.7506847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.6993,-20.733584699999998,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.6822,-20.7164847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.6651,-20.6993847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.648,-20.6822847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.6309,-20.6651847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.6138,-20.6480847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5967,-20.6309847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5796,-20.6138847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5625,-20.5967847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5454,-20.5796847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5283,-20.5625847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.5112,-20.5454847,0.0,0.0,0.0
