structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.6711,-22.03061765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.6541,-22.01361765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.637,-21.99651765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.6199,-21.979417650000002,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.6029,-21.962417650000003,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5858,-21.94531765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5688,-21.92831765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5517,-21.91121765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5347,-21.89421765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5176,-21.877117650000002,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.5006,-21.86011765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.4835,-21.84301765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.4665,-21.82601765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.4494,-21.80891765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.4324,-21.791917650000002,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.4153,-21.77481765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.3983,-21.75781765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.3812,-21.74071765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.3642,-21.72371765,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.3471,-21.706617650000002,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.3301,-21.689617650000002,0.0,0.0,0.0
vacancy_O3,O3 vacancy,tetrahedral,1,27,5.35951765,-16.313,-21.67251765,0.0,0.0,0.0
