structure,vacancy_label,number_of_first_shell_ga,mean_absolute_bond_change_A,std_absolute_bond_change_A,mean_rms_bond_change_A,std_rms_bond_change_A,mean_absolute_angle_change_deg,std_absolute_angle_change_deg,mean_rms_angle_change_deg,std_rms_angle_change_deg
vacancy_O1,O1,3,0.051691127480148626,0.011985045829114015,0.053545318930786484,0.01294466158522198,3.1163311337684516,0.6241706462020811,3.87187282007897,0.768241387876421
vacancy_O2,O2,4,0.037189452815217856,0.03505079775215692,0.037577864246768136,0.034818323018829464,2.285813155104437,2.392011850607551,2.666381757029465,2.6752652809509967
vacancy_O3,O3,3,0.04139186797986725,0.04265797328610454,0.04300965435493286,0.04413475236222754,3.986742501356364,5.0499886269665115,4.050339766097928,5.005704347887644
