structure,number_of_first_shell_ga,mean_of_ga_mean_absolute_bond_change_A,mean_of_ga_rms_bond_change_A,maximum_local_bond_change_A,mean_of_ga_mean_absolute_angle_change_deg,mean_of_ga_rms_angle_change_deg,maximum_local_angle_change_deg
vacancy_O1,3,0.051691127480148626,0.053545318930786484,0.0846924682775998,3.1163311337684516,3.87187282007897,7.126614020169683
vacancy_O2,4,0.037189452815217856,0.037577864246768136,0.10170548835516491,2.285813155104437,2.666381757029465,11.189051155491867
vacancy_O3,3,0.04139186797986725,0.04300965435493286,0.1409058806687069,3.986742501356364,4.0503397660979275,11.260652199670645
