structure,reference_ga_atom_number,defect_ga_atom_number,ga_initial_distance_to_vacancy_A,reference_oxygen_atom_number,bond_status,pristine_bond_length_A,vacancy_bond_length_A,bond_length_change_A,pristine_coordination_number,vacancy_coordination_number,ga_o_bond_cutoff_A
vacancy_O2,9,9,2.0133962410501933,57,preserved,2.075348105102658,2.0665497070585532,-0.008798398044104871,6,5,2.5
vacancy_O2,9,9,2.0133962410501933,61,preserved,2.076983745220497,2.0654972372894917,-0.011486507931005363,6,5,2.5
vacancy_O2,9,9,2.0133962410501933,65,preserved,1.9535425847842727,1.9430552012780804,-0.010487383506192272,6,5,2.5
vacancy_O2,9,9,2.0133962410501933,69,preserved,1.9532249508438615,1.9434372067353227,-0.009787744108538776,6,5,2.5
vacancy_O2,1,1,2.078660470256452,34,preserved,1.9448157579844618,1.9237686260305638,-0.02104713195389807,6,5,2.5
vacancy_O2,1,1,2.078660470256452,49,lost,2.0753461149549666,,,6,5,2.5
vacancy_O2,1,1,2.078660470256452,53,preserved,2.076988106615432,2.0580793678804468,-0.01890873873498533,6,5,2.5
vacancy_O2,1,1,2.078660470256452,57,preserved,2.0197227319344426,1.9993250348154723,-0.020397697118970326,6,5,2.5
vacancy_O2,1,1,2.078660470256452,73,preserved,1.9535373254214923,1.9327140812542927,-0.020823244167199606,6,5,2.5
vacancy_O2,1,1,2.078660470256452,77,preserved,1.9532326673555305,1.9250258508178921,-0.028206816537638346,6,5,2.5
vacancy_O2,5,5,2.078660500144124,38,preserved,1.9448177853093676,1.9235736723806673,-0.02124411292870021,6,5,2.5
vacancy_O2,5,5,2.078660500144124,49,lost,2.0769847832133372,,,6,5,2.5
vacancy_O2,5,5,2.078660500144124,53,preserved,2.0753539586158767,2.05796128872711,-0.017392669888766754,6,5,2.5
vacancy_O2,5,5,2.078660500144124,61,preserved,2.019721755257652,1.9995938530090873,-0.020127902248564755,6,5,2.5
vacancy_O2,5,5,2.078660500144124,73,preserved,1.9532219856096475,1.932721604480275,-0.02050038112937247,6,5,2.5
vacancy_O2,5,5,2.078660500144124,77,preserved,1.9535395431126852,1.9249650097347113,-0.028574533377973887,6,5,2.5
vacancy_O3,27,27,1.8384459909567614,35,preserved,1.847296648434493,1.9296458588151897,0.08234921038069665,4,3,2.5
vacancy_O3,27,27,1.8384459909567614,39,preserved,1.8473669432888555,1.9292615810184246,0.08189463772956906,4,3,2.5
vacancy_O3,27,27,1.8384459909567614,59,preserved,1.8734249577882824,2.0143308384569893,0.1409058806687069,4,3,2.5
vacancy_O3,27,27,1.8384459909567614,65,lost,1.8412663729567738,,,4,3,2.5
vacancy_O3,13,13,1.948482812392485,46,preserved,1.94482689744698,1.930103649807369,-0.014723247639611081,6,5,2.5
vacancy_O3,13,13,1.948482812392485,53,preserved,2.0197140394813506,2.007874843240941,-0.011839196240409855,6,5,2.5
vacancy_O3,13,13,1.948482812392485,57,preserved,2.0769860074143196,2.0608678055132015,-0.016118201901118123,6,5,2.5
vacancy_O3,13,13,1.948482812392485,61,preserved,2.0753468693911894,2.0828516107044215,0.007504741313232088,6,5,2.5
vacancy_O3,13,13,1.948482812392485,65,lost,1.9532292542914151,,,6,5,2.5
vacancy_O3,13,13,1.948482812392485,69,preserved,1.9535306770266476,1.9450624744919525,-0.008468202534695157,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,42,preserved,1.9448148123522395,1.92989805403616,-0.014916758316079415,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,49,preserved,2.0197282270640984,2.0075302454882746,-0.012197981575823746,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,57,preserved,2.075348105102658,2.061281282696063,-0.014066822406594959,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,61,preserved,2.076983745220497,2.0819797904663533,0.004996045245856173,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,65,lost,1.9535425847842727,,,6,5,2.5
vacancy_O3,9,9,1.9484852602673919,69,preserved,1.9532249508438615,1.945761009617561,-0.007463941226300452,6,5,2.5
