structure,vacancy_label,energy_rank,total_energy_eV,relative_energy_eV,number_of_first_shell_ga,mean_first_shell_ga_distance_A,minimum_first_shell_ga_distance_A,maximum_first_shell_ga_distance_A,shell_boundary_gap_A,mean_ga_displacement_A,rms_ga_displacement_A,maximum_ga_displacement_A,mean_radial_ga_displacement_A,maximum_absolute_radial_ga_displacement_A,mean_absolute_ga_o_bond_change_A,maximum_absolute_ga_o_bond_change_A,total_lost_ga_o_bonds,total_formed_ga_o_bonds,total_coordination_loss,number_of_4_to_3_ga,number_of_6_to_5_ga,mean_absolute_bond_distortion_A,mean_rms_bond_distortion_A,maximum_local_bond_distortion_A,mean_absolute_angle_distortion_deg,mean_rms_angle_distortion_deg,maximum_local_angle_distortion_deg
vacancy_O1,O1,1,-483.55237675,0.0,3,1.8763434039471614,1.8437517434761168,1.9415218622702992,1.474613945584372,0.033539967232456065,0.06268116455216823,0.22735688255237016,,,0.051691127480148626,0.0846924682775998,3,0,3,2,1,0.051691127480148626,0.053545318930786484,0.0846924682775998,3.1163311337684516,3.87187282007897,7.126614020169683
vacancy_O3,O3,2,-483.26328457,0.28909218000001147,3,1.9118046878722126,1.8384459909567614,1.9484852602673919,1.351202121217152,0.03239505015009684,0.06902860888304552,0.36554380260273667,,,0.03972509643865548,0.1409058806687069,3,0,3,1,2,0.04139186797986725,0.04300965435493286,0.1409058806687069,3.986742501356364,4.0503397660979275,11.260652199670645
vacancy_O2,O2,3,-483.01794257,0.5344341800000052,4,2.010617264088558,1.8717518449034618,2.078660500144124,1.3308924041697656,0.03630120826618786,0.07120998926215348,0.3612465414487466,,,0.037189452815217856,0.10170548835516491,4,0,4,1,3,0.037189452815217856,0.037577864246768136,0.10170548835516491,2.285813155104437,2.666381757029465,11.189051155491867
