structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O1,68,69,O,4.828167776108235,4.843783858974398,0.01561608286616245,0.025550143812087332,0.015573732659654808,away,-0.008574809594461184,-0.00034287482021076797,-0.024065845634316414
vacancy_O1,64,65,O,4.8281687757807,4.844012068642284,0.015843292861584146,0.025523566151304883,0.015801823464076537,away,-0.0026303473603671063,-0.0003553220220814749,-0.025385181663806742
vacancy_O1,65,66,O,4.861646341072258,4.824162353517627,-0.03748398755463089,0.049382995048866486,-0.03759029216879687,toward,-0.011566909467058245,-0.006063389227005608,-0.04762480568421337
vacancy_O1,50,51,O,4.939623116921183,4.9620180456125,0.022394928691316984,0.022705840347001353,0.022393509316352433,away,-0.003421680475730311,-0.015505467690708782,-0.016230457796313283
vacancy_O1,58,59,O,4.968690608420554,4.952206468467096,-0.016484139953458765,0.01738530724550979,-0.01648721139022358,toward,0.0011173299710417986,0.01693496715715088,0.003769266393186861
vacancy_O1,62,63,O,4.968690752084976,4.952198729826935,-0.01649202225804114,0.017487417058650454,-0.016495425866647102,toward,0.0005497232338951884,0.01700330034058572,0.004049115616666476
vacancy_O1,61,62,O,4.980267741693123,4.952487843732648,-0.02777989796047553,0.03531688734671743,-0.02782764236156192,toward,-0.008202568911441508,-0.004462795396273907,-0.03406000370470883
vacancy_O1,76,77,O,4.99786305924463,4.990108267904866,-0.007754791339764644,0.015810308587557772,-0.00777378236319623,toward,0.0022269364774463105,-0.010507693924995256,0.01160150765796583
vacancy_O1,19,19,Ga,5.069816715914484,5.069280490460011,-0.0005362254544722944,0.0012272162264293676,-0.0005363456286323941,toward,-0.00047441389589379017,-0.00044791261063967903,0.0010394062800581686
vacancy_O1,67,68,O,5.106755295450216,5.0528356486779495,-0.05391964677226646,0.055040542608493954,-0.05393160475884591,toward,-0.013331972183236993,0.011783572881542047,-0.052085192314977775
