structure,number_of_atoms,maximum_displacement_A,mean_displacement_A,median_displacement_A,rms_displacement_A,drift_x_A,drift_y_A,drift_z_A,drift_magnitude_A
vacancy_O1,79,0.22735688255237016,0.030373919337768764,0.018078862359240284,0.04719821653322485,5.234912362947732e-17,8.476100447397816e-16,-1.4630526045238316e-15,1.6916578088645812e-15
vacancy_O2,79,0.3612465414487466,0.03304241867859097,0.021153925942241122,0.05340661096851214,3.966368372983426e-16,1.1594101206528534e-17,-1.7069679003611782e-15,1.7524824155318273e-15
vacancy_O3,79,0.36554380260273667,0.03200496765647033,0.0255244965599551,0.052007035595803434,3.808047407644277e-16,2.82304287190213e-16,-1.9671325047076746e-15,2.0234421791175865e-15
