structure,coordination_type,reference_ga_atom_number,defect_ga_atom_number,system,orbital,energy_minus_fermi_eV,pdos_states_per_eV
vacancy_O3,tetrahedral,27,27,pristine,s,-19.41865477,0.0008
vacancy_O3,tetrahedral,27,27,pristine,s,-19.40165477,0.0013
vacancy_O3,tetrahedral,27,27,pristine,s,-19.38465477,0.002
vacancy_O3,tetrahedral,27,27,pristine,s,-19.36765477,0.003
vacancy_O3,tetrahedral,27,27,pristine,s,-19.350554770000002,0.0044
vacancy_O3,tetrahedral,27,27,pristine,s,-19.33355477,0.0061
vacancy_O3,tetrahedral,27,27,pristine,s,-19.31655477,0.008
vacancy_O3,tetrahedral,27,27,pristine,s,-19.29955477,0.0103
vacancy_O3,tetrahedral,27,27,pristine,s,-19.28255477,0.0127
vacancy_O3,tetrahedral,27,27,pristine,s,-19.26555477,0.0152
vacancy_O3,tetrahedral,27,27,pristine,s,-19.24855477,0.0177
vacancy_O3,tetrahedral,27,27,pristine,s,-19.231554770000002,0.0201
vacancy_O3,tetrahedral,27,27,pristine,s,-19.21455477,0.0224
vacancy_O3,tetrahedral,27,27,pristine,s,-19.19755477,0.0245
vacancy_O3,tetrahedral,27,27,pristine,s,-19.18055477,0.0266
vacancy_O3,tetrahedral,27,27,pristine,s,-19.16355477,0.0286
vacancy_O3,tetrahedral,27,27,pristine,s,-19.14655477,0.0306
vacancy_O3,tetrahedral,27,27,pristine,s,-19.12955477,0.0324
vacancy_O3,tetrahedral,27,27,pristine,s,-19.112554770000003,0.0342
vacancy_O3,tetrahedral,27,27,pristine,s,-19.09555477,0.0356
vacancy_O3,tetrahedral,27,27,pristine,s,-19.07855477,0.0368
vacancy_O3,tetrahedral,27,27,pristine,s,-19.06155477,0.0375
vacancy_O3,tetrahedral,27,27,pristine,s,-19.04455477,0.0378
vacancy_O3,tetrahedral,27,27,pristine,s,-19.027554770000002,0.0376
vacancy_O3,tetrahedral,27,27,pristine,s,-19.01055477,0.0371
vacancy_O3,tetrahedral,27,27,pristine,s,-18.993554770000003,0.0363
vacancy_O3,tetrahedral,27,27,pristine,s,-18.97655477,0.0354
vacancy_O3,tetrahedral,27,27,pristine,s,-18.95955477,0.0345
vacancy_O3,tetrahedral,27,27,pristine,s,-18.94255477,0.0336
vacancy_O3,tetrahedral,27,27,pristine,s,-18.92545477,0.0328
vacancy_O3,tetrahedral,27,27,pristine,s,-18.90845477,0.0321
vacancy_O3,tetrahedral,27,27,pristine,s,-18.891454770000003,0.0316
vacancy_O3,tetrahedral,27,27,pristine,s,-18.87445477,0.0311
vacancy_O3,tetrahedral,27,27,pristine,s,-18.85745477,0.0307
vacancy_O3,tetrahedral,27,27,pristine,s,-18.84045477,0.0304
vacancy_O3,tetrahedral,27,27,pristine,s,-18.823454769999998,0.0301
vacancy_O3,tetrahedral,27,27,pristine,s,-18.806454770000002,0.0299
vacancy_O3,tetrahedral,27,27,pristine,s,-18.78945477,0.0298
vacancy_O3,tetrahedral,27,27,pristine,s,-18.772454770000003,0.03
vacancy_O3,tetrahedral,27,27,pristine,s,-18.75545477,0.0303
vacancy_O3,tetrahedral,27,27,pristine,s,-18.73845477,0.031
vacancy_O3,tetrahedral,27,27,pristine,s,-18.72145477,0.0321
vacancy_O3,tetrahedral,27,27,pristine,s,-18.704454769999998,0.0336
vacancy_O3,tetrahedral,27,27,pristine,s,-18.687454770000002,0.0357
vacancy_O3,tetrahedral,27,27,pristine,s,-18.67045477,0.0382
vacancy_O3,tetrahedral,27,27,pristine,s,-18.65345477,0.0412
vacancy_O3,tetrahedral,27,27,pristine,s,-18.63645477,0.0445
vacancy_O3,tetrahedral,27,27,pristine,s,-18.61945477,0.048
vacancy_O3,tetrahedral,27,27,pristine,s,-18.60245477,0.0516
vacancy_O3,tetrahedral,27,27,pristine,s,-18.58545477,0.055
vacancy_O3,tetrahedral,27,27,pristine,s,-18.568454770000002,0.0583
vacancy_O3,tetrahedral,27,27,pristine,s,-18.55145477,0.0612
vacancy_O3,tetrahedral,27,27,pristine,s,-18.53445477,0.0637
vacancy_O3,tetrahedral,27,27,pristine,s,-18.51735477,0.0659
vacancy_O3,tetrahedral,27,27,pristine,s,-18.50035477,0.0678
vacancy_O3,tetrahedral,27,27,pristine,s,-18.48335477,0.0693
vacancy_O3,tetrahedral,27,27,pristine,s,-18.466354770000002,0.0706
vacancy_O3,tetrahedral,27,27,pristine,s,-18.44935477,0.0718
vacancy_O3,tetrahedral,27,27,pristine,s,-18.43235477,0.073
vacancy_O3,tetrahedral,27,27,pristine,s,-18.41535477,0.0746
vacancy_O3,tetrahedral,27,27,pristine,s,-18.39835477,0.0767
vacancy_O3,tetrahedral,27,27,pristine,s,-18.38135477,0.0795
vacancy_O3,tetrahedral,27,27,pristine,s,-18.36435477,0.0832
vacancy_O3,tetrahedral,27,27,pristine,s,-18.347354770000003,0.0878
vacancy_O3,tetrahedral,27,27,pristine,s,-18.33035477,0.0933
vacancy_O3,tetrahedral,27,27,pristine,s,-18.31335477,0.0996
vacancy_O3,tetrahedral,27,27,pristine,s,-18.29635477,0.1065
vacancy_O3,tetrahedral,27,27,pristine,s,-18.27935477,0.1139
vacancy_O3,tetrahedral,27,27,pristine,s,-18.26235477,0.1214
vacancy_O3,tetrahedral,27,27,pristine,s,-18.24535477,0.1288
vacancy_O3,tetrahedral,27,27,pristine,s,-18.228354770000003,0.1358
vacancy_O3,tetrahedral,27,27,pristine,s,-18.21135477,0.142
vacancy_O3,tetrahedral,27,27,pristine,s,-18.19435477,0.1471
vacancy_O3,tetrahedral,27,27,pristine,s,-18.17735477,0.1508
vacancy_O3,tetrahedral,27,27,pristine,s,-18.160354769999998,0.1528
vacancy_O3,tetrahedral,27,27,pristine,s,-18.143354770000002,0.1528
vacancy_O3,tetrahedral,27,27,pristine,s,-18.12635477,0.1508
vacancy_O3,tetrahedral,27,27,pristine,s,-18.109354770000003,0.1469
vacancy_O3,tetrahedral,27,27,pristine,s,-18.09225477,0.1416
vacancy_O3,tetrahedral,27,27,pristine,s,-18.07525477,0.1352
vacancy_O3,tetrahedral,27,27,pristine,s,-18.058254769999998,0.1285
vacancy_O3,tetrahedral,27,27,pristine,s,-18.041254770000002,0.1219
vacancy_O3,tetrahedral,27,27,pristine,s,-18.02425477,0.1157
vacancy_O3,tetrahedral,27,27,pristine,s,-18.007254770000003,0.1103
vacancy_O3,tetrahedral,27,27,pristine,s,-17.99025477,0.1054
vacancy_O3,tetrahedral,27,27,pristine,s,-17.97325477,0.101
vacancy_O3,tetrahedral,27,27,pristine,s,-17.95625477,0.0969
vacancy_O3,tetrahedral,27,27,pristine,s,-17.939254769999998,0.0926
vacancy_O3,tetrahedral,27,27,pristine,s,-17.922254770000002,0.0879
vacancy_O3,tetrahedral,27,27,pristine,s,-17.90525477,0.0828
vacancy_O3,tetrahedral,27,27,pristine,s,-17.88825477,0.0772
vacancy_O3,tetrahedral,27,27,pristine,s,-17.87125477,0.0712
vacancy_O3,tetrahedral,27,27,pristine,s,-17.85425477,0.065
vacancy_O3,tetrahedral,27,27,pristine,s,-17.83725477,0.0587
vacancy_O3,tetrahedral,27,27,pristine,s,-17.82025477,0.0525
vacancy_O3,tetrahedral,27,27,pristine,s,-17.803254770000002,0.0466
